scene,section,start_sec,end_sec,start_time,end_time,duration_sec,sentence,image,review_status,reason,motion,transition
1,AÇILIŞ: ODYSSEUS KİMDİR?,0.0,2.09,00:00.000,00:02.090,2.09,Odysseus kimdir?,panel_01.jpg,MEVCUT GÖRSEL KULLANILABİLİR,"Görsel, cümledeki Odysseus’u doğrudan destekliyor; anlatılan kişi/olayla çelişen bir unsur taşımıyor.",zoom_in,crossfade
2,AÇILIŞ: ODYSSEUS KİMDİR?,2.09,11.28,00:02.090,00:11.280,9.19,"Truva Savaşı’nı zekâsıyla kazanan, fakat evine dönmesi on yıl süren kraldır.",Dramatischer Seefahrer im Sonnenuntergang.png,MEVCUT GÖRSEL KULLANILABİLİR,"Görsel, cümledeki Troya/Truva bağlamını, tahta at veya hile temasını doğrudan destekliyor; anlatılan kişi/olayla çelişen bir unsur taşımıyor.",zoom_out,crossfade
3,AÇILIŞ: ODYSSEUS KİMDİR?,11.28,19.74,00:11.280,00:19.740,8.46,Christopher Nolan’ın 2026 yapımı The Odyssey filminde onu Matt Damon canlandırıyor.,panel_01.jpg,MEVCUT GÖRSEL KULLANILABİLİR,"Görsel, cümledeki tahta at veya hile temasını doğrudan destekliyor; anlatılan kişi/olayla çelişen bir unsur taşımıyor.",pan_left,crossfade
4,AÇILIŞ: ODYSSEUS KİMDİR?,19.74,28.53,00:19.740,00:28.530,8.79,Peki bir savaşı tek bir hileyle bitirecek kadar zeki olan bu adam neden evine dönemedi?,Küstenwache im goldenen Abendlicht.png,MEVCUT GÖRSEL KULLANILABİLİR,"Görsel, cümledeki savaş atmosferini doğrudan destekliyor; anlatılan kişi/olayla çelişen bir unsur taşımıyor.",pan_right,crossfade
5,AÇILIŞ: ODYSSEUS KİMDİR?,28.53,35.74,00:28.530,00:35.740,7.21,"Bu sorunun cevabı, bugün Çanakkale’de kalıntıları bulunan antik Troya şehrinde başlıyor.",scene_05.jpg,MEVCUT GÖRSEL KULLANILABİLİR,"Görsel, “AÇILIŞ: ODYSSEUS KİMDİR?” bölümünün mekânını, karakterini veya duygusal tonunu destekliyor ve cümlenin anlamıyla çelişmiyor.",zoom_in,crossfade
6,AÇILIŞ: ODYSSEUS KİMDİR?,35.74,42.53,00:35.740,00:42.530,6.79,"Troya, günümüzde daha çok Truva adıyla bildiğimiz antik kenttir.",scene_06.jpg,MEVCUT GÖRSEL KULLANILABİLİR,"Görsel, cümledeki Troya/Truva bağlamını doğrudan destekliyor; anlatılan kişi/olayla çelişen bir unsur taşımıyor.",zoom_out,crossfade
7,AÇILIŞ: ODYSSEUS KİMDİR?,42.53,52.53,00:42.530,00:52.530,10.0,"Truva Savaşı’nın ayrıntılarını bilmesek bile, içine askerlerin saklandığı o meşhur tahta atı hepimiz duymuşuzdur.",panel_02.jpg,MEVCUT GÖRSEL KULLANILABİLİR,"Görsel, cümledeki Troya/Truva bağlamını, tahta at veya hile temasını doğrudan destekliyor; anlatılan kişi/olayla çelişen bir unsur taşımıyor.",pan_left,crossfade
8,AÇILIŞ: ODYSSEUS KİMDİR?,52.53,60.08,00:52.530,01:00.080,7.55,"Dışarıdan bir armağan gibi görünen, fakat içinde düşman taşıyan bir tuzak.",panel_02.jpg,MEVCUT GÖRSEL KULLANILABİLİR,"Görsel, cümledeki tahta at veya hile temasını doğrudan destekliyor; anlatılan kişi/olayla çelişen bir unsur taşımıyor.",pan_right,crossfade
9,AÇILIŞ: ODYSSEUS KİMDİR?,60.08,74.63,01:00.080,01:14.630,14.55,Bu fikir öylesine güçlü bir simgeye dönüştü ki bugün bile zararsız görünüp içinde gizli bir tehlike taşıyan şeylere “Truva Atı” diyoruz.,panel_02.jpg,MEVCUT GÖRSEL KULLANILABİLİR,"Görsel, cümledeki Troya/Truva bağlamını, tahta at veya hile temasını doğrudan destekliyor; anlatılan kişi/olayla çelişen bir unsur taşımıyor.",zoom_in,crossfade
10,AÇILIŞ: ODYSSEUS KİMDİR?,74.63,83.12,01:14.630,01:23.120,8.49,Eski anlatılara göre bu planın beyni Odysseus’tu.,panel_01.jpg,MEVCUT GÖRSEL KULLANILABİLİR,"Görsel, cümledeki tahta at veya hile temasını, Odysseus’u doğrudan destekliyor; anlatılan kişi/olayla çelişen bir unsur taşımıyor.",zoom_out,crossfade
