scene,section,start_time,end_time,sentence,status,reason
386,"DİLENCİ, KÖPEK VE YAY",00:38:30.000,00:38:36.000,Odysseus kimliğini hemen açıklamaz.,GOREL EKSIK,Kütüphanedeki mevcut görseller arasında bu cümleyi doğrudan ve yanlış çağrışım yaratmadan anlatan yeterince uygun bir görsel bulunmadığı için yeni görsel gerekli.
392,"DİLENCİ, KÖPEK VE YAY",00:39:06.000,00:39:12.000,Onu ilk tanıyanlardan biri insan değildir.,GOREL EKSIK,Kütüphanedeki mevcut görseller arasında bu cümleyi doğrudan ve yanlış çağrışım yaratmadan anlatan yeterince uygun bir görsel bulunmadığı için yeni görsel gerekli.
393,"DİLENCİ, KÖPEK VE YAY",00:39:12.000,00:39:18.000,"Odysseus’un savaşa gitmeden önce yetiştirdiği köpeği Argos, yirmi yıl sonra sahibini fark eder.",GOREL EKSIK,Kütüphanedeki mevcut görseller arasında bu cümleyi doğrudan ve yanlış çağrışım yaratmadan anlatan yeterince uygun bir görsel bulunmadığı için yeni görsel gerekli.
394,"DİLENCİ, KÖPEK VE YAY",00:39:18.000,00:39:24.000,Argos artık çok yaşlı ve güçsüzdür.,GOREL EKSIK,Kütüphanedeki mevcut görseller arasında bu cümleyi doğrudan ve yanlış çağrışım yaratmadan anlatan yeterince uygun bir görsel bulunmadığı için yeni görsel gerekli.
395,"DİLENCİ, KÖPEK VE YAY",00:39:24.000,00:39:30.000,Odysseus’u görünce kulaklarını indirip kuyruğunu sallar.,GOREL EKSIK,Kütüphanedeki mevcut görseller arasında bu cümleyi doğrudan ve yanlış çağrışım yaratmadan anlatan yeterince uygun bir görsel bulunmadığı için yeni görsel gerekli.
396,"DİLENCİ, KÖPEK VE YAY",00:39:30.000,00:39:36.000,Odysseus kimliğini belli etmemek için ona yaklaşamaz; gözyaşlarını gizler.,GOREL EKSIK,Kütüphanedeki mevcut görseller arasında bu cümleyi doğrudan ve yanlış çağrışım yaratmadan anlatan yeterince uygun bir görsel bulunmadığı için yeni görsel gerekli.
397,"DİLENCİ, KÖPEK VE YAY",00:39:36.000,00:39:42.000,Argos ise sahibinin döndüğünü gördükten hemen sonra ölür.,GOREL EKSIK,Kütüphanedeki mevcut görseller arasında bu cümleyi doğrudan ve yanlış çağrışım yaratmadan anlatan yeterince uygun bir görsel bulunmadığı için yeni görsel gerekli.
399,"DİLENCİ, KÖPEK VE YAY",00:39:48.000,00:39:54.000,"Argos, Odysseus’un unvanlarını ve hatalarını bilmez.",GOREL EKSIK,Kütüphanedeki mevcut görseller arasında bu cümleyi doğrudan ve yanlış çağrışım yaratmadan anlatan yeterince uygun bir görsel bulunmadığı için yeni görsel gerekli.
400,"DİLENCİ, KÖPEK VE YAY",00:39:54.000,00:40:00.000,Yalnızca sahibini tanır ve bunun için hiçbir kanıt istemez.,GOREL EKSIK,Kütüphanedeki mevcut görseller arasında bu cümleyi doğrudan ve yanlış çağrışım yaratmadan anlatan yeterince uygun bir görsel bulunmadığı için yeni görsel gerekli.
402,"DİLENCİ, KÖPEK VE YAY",00:40:06.000,00:40:12.000,Bu planın ilk adımı Odysseus’un eski yayıdır.,GOREL EKSIK,Kütüphanedeki mevcut görseller arasında bu cümleyi doğrudan ve yanlış çağrışım yaratmadan anlatan yeterince uygun bir görsel bulunmadığı için yeni görsel gerekli.
